name,website,size,industry,city,address,phone,product_jobs,design_jobs,ux_jobs,source,notes
"Mycroft Mind, a.s.",,,,Prague,,,1,0,0,startupjobs,
ACOMWARE s.r.o.,,,E-commerce,Prague,,,0,0,0,startupjobs,
Carvago s.r.o.,,,Služby,Prague,,,0,0,1,startupjobs,
Blindspot Solutions,,,Technologie,Prague,,,0,0,0,startupjobs,
Braiins,,,Technologie,Prague,,,0,0,0,startupjobs,
BlueGhost,,,Technologie,Prague,,,0,0,0,startupjobs,
ARTIN,,,Technologie,Prague,,,0,0,0,startupjobs,
Wultra,,,,Prague,,,0,0,0,startupjobs,
Livesport,,,Sport,Prague,,,0,0,0,startupjobs,
BTL Medical Development a.s.,,,,Prague,,,0,0,0,startupjobs,
Oddin.gg,,,Hry a zábava,Prague,,,1,0,0,startupjobs,
Renturi,,,,Prague,,,0,0,0,startupjobs,
Prusa Research a.s.,,,Technologie,Prague,,,0,0,0,startupjobs,
TicketsGP s.r.o.,,,,Prague,,,0,0,0,startupjobs,
MSD,,,,Prague,,,1,0,0,startupjobs,
PLG Group: GoOut & Ticketportal,,,Služby,Prague,,,1,0,1,startupjobs,
"Řízení letového provozu ČR, s. p.",,,,Prague,,,0,0,0,startupjobs,
Laba Czech,,,,Prague,,,0,0,0,startupjobs,
Knihobot & Bookbot,,,Služby,Prague,,,1,0,0,startupjobs,
INFOMATIC,,,Technologie,Prague,,,0,0,0,startupjobs,
"Loono, z.s.",,,,Prague,,,0,0,0,startupjobs,
Purple Technology,,,Technologie,Prague,,,0,0,0,startupjobs,
TTC Marconi s.r.o.,,,,Prague,,,0,0,0,startupjobs,
Air Bank a.s.,,,,Prague,,,0,0,0,startupjobs,
Meiro.io,,,Technologie,Prague,,,1,0,0,startupjobs,
KOALA42,,,Technologie,Prague,,,0,0,0,startupjobs,
Papirfly,,,,Prague,,,0,0,0,startupjobs,
Filuta AI,,,,Prague,,,0,0,0,startupjobs,
katz83,,,,Prague,,,0,0,0,startupjobs,
"BH CAPITAL GROUP Holding, a.s.",,,,Prague,,,0,0,0,startupjobs,
Mixit s.r.o.,,,Jídlo,Prague,,,1,0,0,startupjobs,
Foxentry,,,,Prague,,,0,0,0,startupjobs,
"CZ.NIC, z. s. p. o.",,,Technologie,Prague,,,0,0,0,startupjobs,
Compelson,,,Technologie,Prague,,,0,0,0,startupjobs,
Proficio,,,E-commerce,Prague,,,0,0,0,startupjobs,
FaceUp 💙,,,,Prague,,,0,0,0,startupjobs,
Flat Zone s.r.o.,,,Jiné,Prague,,,0,0,0,startupjobs,
Investory deals s.r.o.,,,,Prague,,,0,0,0,startupjobs,
BOOTIQ s.r.o.,,,Technologie,Prague,,,1,0,0,startupjobs,
UlovDomov.cz s.r.o.,,,Služby,Prague,,,0,0,0,startupjobs,
Teya,,,,Prague,,,0,0,0,startupjobs,
Dotykačka ČR s.r.o.,,,Technologie,Prague,,,0,0,0,startupjobs,
Dental Monitoring Czech Republic,,,,Prague,,,1,0,0,startupjobs,
Dentsu Czech Republic s.r.o.,,,,Prague,,,0,0,0,startupjobs,
localhost s.r.o.,,,,Prague,,,0,0,0,startupjobs,
T-Mobile Czech Republic a.s. - Partner,,,,Prague,,,0,0,0,startupjobs,
PKV Build,,,,Prague,,,1,0,0,startupjobs,
Waibee,,,,Prague,,,0,0,0,startupjobs,
Ecomail.cz,,,E-commerce,Prague,,,0,0,0,startupjobs,
FLOWBOX,,,,Prague,,,1,0,0,startupjobs,
Scormium,,,Technologie,Prague,,,0,1,0,startupjobs,
Flowpay,,,,Prague,,,1,0,1,startupjobs,
Deepview,,,,Prague,,,0,0,0,startupjobs,
SmartEmailing,,,SaaS,Prague,,,0,0,0,startupjobs,
Roklen360 a.s.,,,,Prague,,,0,0,0,startupjobs,
Všeobecná zdravotní pojišťovna České republiky,,,,Prague,,,0,0,0,startupjobs,
Symmy,,,,Prague,,,0,0,0,startupjobs,
Direct Fidoo,,,,Prague,,,0,1,0,startupjobs,
Fabini,,,,Prague,,,0,0,0,startupjobs,
Logio s.r.o.,,,Technologie,Prague,,,0,0,0,startupjobs,
Four Bros s.r.o.,,,Digitální agentura,Prague,,,0,0,0,startupjobs,
"SpaceKnow, Inc.",,,Technologie,Prague,,,0,0,0,startupjobs,
Legito,,,Technologie,Prague,,,0,0,0,startupjobs,
AMP Algo,,,,Prague,,,0,0,0,startupjobs,
Aricoma,,,,Prague,,,0,0,0,startupjobs,
Mindwell,,,,Prague,,,0,0,0,startupjobs,
Plavec Media,,,,Prague,,,0,0,0,startupjobs,
Emorfiq - e-commerce řešení nové generace,,,,Prague,,,1,0,1,startupjobs,
Realpad,,,Technologie,Prague,,,0,0,0,startupjobs,
Yolk Studio,,,Technologie,Prague,,,0,1,1,startupjobs,
Driveto s.r.o.,,,E-commerce,Prague,,,0,0,0,startupjobs,
S-Tech Ventures a.s.,,,,Prague,,,0,0,0,startupjobs,
mime digital,,,,Prague,,,0,0,0,startupjobs,
Ciklum,,,Technologie,Prague,,,1,0,1,startupjobs,
Rascasone,,,Technologie,Prague,,,0,0,0,startupjobs,
Mancala Gaming s.r.o.,,,,Prague,,,0,0,0,startupjobs,
DeepScout,,,,Prague,,,0,0,0,startupjobs,
Data Mind,,,Technologie,Prague,,,0,0,0,startupjobs,
Leadspicker.com,,,Technologie,Prague,,,0,0,0,startupjobs,
Dishboard,,,,Prague,,,0,0,0,startupjobs,
Heureka Group,,,E-commerce,Prague,,,1,0,0,startupjobs,
Reas.cz,,,Služby,Prague,,,1,0,0,startupjobs,
HackedList.io,,,,Prague,,,0,0,0,startupjobs,
Emmy Medical s.r.o.,,,,Prague,,,0,0,0,startupjobs,
Kentico Software,,,Technologie,Prague,,,1,1,1,startupjobs,
Česká televize,,,,Prague,,,1,0,0,startupjobs,
"GOOD PEOPLE media, s.r.o.",,,,Prague,,,0,0,0,startupjobs,
Upster s.r.o.,,,,Prague,,,0,0,0,startupjobs,
Performansion Prague s.r.o.,,,,Prague,,,0,0,0,startupjobs,
YOO.cz,,,E-commerce,Prague,,,0,0,0,startupjobs,
DEPOTO s.r.o.,,,,Prague,,,0,0,0,startupjobs,
"AdminIT, s. r. o.",,,Služby,Prague,,,0,0,0,startupjobs,
Tesena | Praha,,,Technologie,Prague,,,0,0,0,startupjobs,
Digital Ant,,,Služby,Prague,,,0,0,0,startupjobs,
Artworkout,,,,Prague,,,0,0,0,startupjobs,
Delta Green,,,,Prague,,,0,0,0,startupjobs,
Kralovstvizdravi.cz,,,,Prague,,,0,0,0,startupjobs,
ScreenManager,,,,Prague,,,0,0,0,startupjobs,
Ematiq a.s.,,,Technologie,Prague,,,1,0,0,startupjobs,
DEFEND INSURANCE HOLDING s.r.o.,,,,Prague,,,0,0,0,startupjobs,
TEDOM a.s.,,,,Prague,,,0,0,0,startupjobs,
Hullabaloo s.r.o.,,,Služby,Prague,,,0,0,0,startupjobs,
Invizar,,,,Prague,,,0,0,0,startupjobs,
RailState,,,,Prague,,,0,0,0,startupjobs,
InHeart Production s.r.o.,,,,Prague,,,0,0,0,startupjobs,
"DAPE LABS, s. r. o.",,,,Prague,,,0,0,0,startupjobs,
BLENDVISIONS,,,,Prague,,,0,0,0,startupjobs,
"Webite, s.r.o.",,,Služby,Prague,,,0,0,0,startupjobs,
Fusion Jet s.r.o.,,,,Prague,,,0,0,0,startupjobs,
Leo Prague,,,,Prague,,,0,0,0,startupjobs,
iShowroom s.r.o.,,,,Prague,,,0,0,0,startupjobs,
Addvery,,,,Prague,,,0,0,0,startupjobs,
FakturaOnline.cz,,,Technologie,Prague,,,0,0,0,startupjobs,
Be On Wave s.r.o.,,,,Prague,,,0,0,0,startupjobs,
Devcity s.r.o.,,,Zakázkový vývoj,Prague,,,0,0,0,startupjobs,
NETIO products a.s.,,,Technologie,Prague,,,0,0,0,startupjobs,
CleverMaps,,,Technologie,Prague,,,0,0,0,startupjobs,
Redwood Capital,,,,Prague,,,0,0,0,startupjobs,
ALIS spol. s r.o.,,,,Prague,,,0,0,0,startupjobs,
AMPower,,,,Prague,,,0,0,0,startupjobs,
Stratodata,,,,Prague,,,0,0,0,startupjobs,
"ABAK, spol. s r.o.",,,,Prague,,,0,0,0,startupjobs,
Nomivans,,,,Prague,,,0,0,0,startupjobs,
Legal Systems,,,,Prague,,,0,0,0,startupjobs,
AVE Soft s.r.o.,,,,Prague,,,0,0,0,startupjobs,
ofrules,,,,Prague,,,0,0,0,startupjobs,
ASSIST spol. s r.o.,,,,Prague,,,0,0,0,startupjobs,
Raventic,,,,Prague,,,0,0,0,startupjobs,
"SMAUT Technology, s.r.o.",,,,Prague,,,0,0,0,startupjobs,
BAE Systems OneArc Czechia k.s.,,,Technologie,Prague,,,0,0,0,startupjobs,
Mediaboard s.r.o.,,,Technologie,Prague,,,1,0,0,startupjobs,
Newsmatics,,,E-commerce,Prague,,,0,0,1,startupjobs,
EHL elektronika s.r.o.,,,,Prague,,,0,0,0,startupjobs,
evisions Advertising s.r.o.,,,E-commerce,Prague,,,0,0,0,startupjobs,
Iluzon Designs,,,,Prague,,,0,0,0,startupjobs,
Saleskit,,,Technologie,Prague,,,0,0,0,startupjobs,
Ventrata,,,Technologie,Prague,,,0,0,0,startupjobs,
Rockaway Capital,,,,Prague,,,0,0,0,startupjobs,
